Gene_acc,Gene_id,Signed_Rank,log10_TMT_intensity,FDR,Desc
0,Tb927.9.3600,-816.848946,4.75586300341964,0.0,"Glycosyl transferase family 11, putative"
1,Tb927.9.7980,636.129861,4.1218110765355584,0.0,"hypothetical protein, conserved"
2,Tb927.10.1870,-561.3695809999999,4.430665472353132,0.0,"LSU ribosomal protein, mitochondrial, putative"
3,Tb927.11.8040,-395.68403,4.446073872798204,0.0,"LSU ribosomal protein, mitochondrial, putative"
4,Tb927.11.9790,391.781007,5.277074133470176,0.0,"calmodulin, putative"
5,Tb927.11.870,-388.526507,5.321960709146105,0.0,mitochondrial ribosomal protein l23
6,Tb927.6.5130,367.416472,5.556557104984955,0.0,"60S acidic ribosomal protein P2, putative"
7,Tb927.6.4080,-333.369068,4.816649985394742,0.0,"ribosomal protein, putative"
8,Tb927.10.11370,-299.04353599999996,5.06740070028546,0.0,"hypothetical protein, conserved"
9,Tb927.5.1820,296.356961,4.934390144671183,0.0,"60S acidic ribosomal protein, putative"
10,Tb927.10.11350,-296.356961,4.9796024937516785,0.0,"LSU ribosomal protein, mitochondrial, putative"
11,Tb927.4.4720,-295.131302,4.2537312450457225,0.0,kinetoplast ribosomal PPR-repeat containing protein 7
12,Tb927.1.1210,-293.639131,4.758069556932298,0.0,"conserved protein, unknown function"
13,Tb927.11.9860,285.397879,5.844781510141838,0.0,"EF-hand domain pair, putative"
14,Tb927.4.3430,278.446048,4.904308522775724,0.0,Mitochondrial import inner membrane translocase subunit TIM12
15,Tb927.8.550,274.87183799999997,4.6083869514996945,0.0,"peptide methionine sulfoxide reductase, putative"
16,Tb927.7.4550,-262.954624,4.9839493698054875,0.0,Mitochondrial ribosomal protein L7/L12
17,Tb927.3.2180,-257.798185,4.780741236506703,0.0,"Mitochondrial ATP synthase subunit, putative"
18,Tb927.6.4010,257.321319,5.003225417122126,0.0,"Translation machinery associated TMA7, putative"
19,Tb927.6.3930,-255.33958199999998,5.042558887572469,0.0,"LSU ribosomal protein, mitochondrial, putative"
20,Tb927.11.11630,-255.10930299999998,4.727827619840137,0.0,"LSU ribosomal protein, mitochondrial, putative"
21,Tb927.7.6420,233.512258,4.22980978295254,0.0,"hypothetical protein, conserved"
22,Tb927.9.1610,227.458117,4.665896669943927,0.0,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative"
23,Tb927.11.17010,211.38889,4.879532313180689,0.0,"Rab5-interacting protein (Rab5ip), putative"
24,Tb927.11.1330,210.58011299999998,4.867073805810276,0.0,"Stress responsive A/B Barrel Domain, putative"
25,Tb927.7.6770,208.15583700000002,5.402452449101802,0.0,"Acyl CoA binding protein, putative"
26,Tb927.3.820,-207.185646,4.5185154021464085,0.0,"LSU ribosomal protein, mitochondrial, putative"
27,Tb927.11.10570,-205.746716,5.1239989205523715,0.0,"LSU ribosomal protein, mitochondrial, putative"
28,Tb927.7.4140,-203.16356100000002,5.117125401250723,0.0,mitochondrial ribosomal protein L21
29,Tb927.3.3660,-199.922572,4.493089204961359,0.0,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
30,Tb927.8.6800,-199.52811499999999,5.196389609260979,0.0,"hypothetical protein, conserved"
31,Tb927.9.7170,-194.72618300000002,5.169783140992745,0.0,Mitochondrial ribosomal protein L47
32,Tb927.4.1070,-193.576492,4.622997602424271,0.0,Mitochondrial ribosomal protein L13
33,Tb927.10.3380,189.256815,4.799342081353815,0.0,"60S acidic ribosomal protein P2, putative"
34,Tb927.4.4440,188.336037,4.501404672832837,0.0,adenylyl cyclase
35,Tb927.6.1440,-187.77164399999998,4.370623895291383,0.0,"LSU ribosomal protein, mitochondrial, putative"
